Time,Kills,Deaths,Wins,Losses,GamesPlayed
2020-07-29 14:34,401,663,97,138,236
2020-07-29 14:39,401,663,97,138,236
2020-07-29 14:44,401,663,97,138,236
2020-07-29 14:49,403,665,97,139,237
2020-07-29 14:54,403,665,97,139,237
2020-07-29 14:59,403,665,97,139,237
2020-07-29 15:04,403,665,97,139,237
2020-07-29 15:09,408,672,97,140,238
2020-07-29 15:14,408,672,97,140,238
2020-07-29 15:19,408,672,97,140,238
2020-07-29 15:24,409,672,97,141,239
2020-07-29 15:29,409,672,97,141,239
2020-07-29 15:34,409,673,97,142,240
2020-07-29 15:39,409,673,97,142,240
2020-07-29 15:44,409,673,97,142,240
2020-07-29 15:49,409,673,97,142,240
2020-07-29 15:54,409,673,97,142,240
2020-07-29 15:59,411,679,97,143,241
2020-07-29 16:04,411,679,97,143,241
2020-07-29 16:09,411,679,97,143,241
2020-07-29 16:14,411,679,97,143,241
2020-07-29 16:19,411,679,97,143,241
2020-07-29 16:24,411,679,97,143,241
